FECHA,FECHA PIC,ARETE,MOTILIDAD  %,T,VOL /ML SEMEN TOTAL,FR,SPZ/ML,ANOMALIAS %,AGLUT,N DOSIS 100,SPZ/DOSIS (MILLONES),SINCHI 1,SINCHI 2,SINCHI 4,SINCHI 5,A.PIC.II HUARAL,A.PIC.II CAÑETE,DNH,DNM,CLIENTE
2025-05-04,578,L9765,95.0,37.6,345.0,OK,498.0,7.4,.+,41,3000,,7.0,,,,,,,34.0
2025-05-04,578,L9765,,,,,,,,24,2000,,20.0,,,,,,,4.0
2025-05-04,578,L11063,94.0,37.6,218.0,OK,230.0,8,.+,16,3000,,,,,,,6.0,,10.0
2025-05-04,578,L11059,93.0,37.6,636.0,OK,244.0,10.4,.+,51,3000,,,,,,,,,51.0
2025-05-04,578,L9822,95.0,37.6,272.0,OK,433.0,5.8,.+,34,3000,,,,,,,,,34.0
2025-05-04,578,W10588,94.0,37.6,282.0,OK,431.0,18.8,.+,30,3000,,,,,,,,,30.0
2025-05-04,578,W10588,,,,,,,,2,2000,,,,,,,,,2.0
2025-05-04,578,W3340,93.0,37.6,225.0,OK,465.0,20,.+,22,3000,,6.0,,,,10.0,6.0,,
2025-05-04,578,Z10152,74.0,37.7,266.0,OK,145.0,16.7,.+,13,3000,,,,,,,,,26.0
2025-05-04,578,Z10157,91.0,37.6,301.0,OK,135.0,20,.+,13,3000,,,,,,,,,
2025-05-04,578,Z10155,93.0,37.6,234.0,OK,260.0,20,.+,20,3000,,,,,,,,,39.0
2025-05-04,578,Z2944,89.0,37.7,203.0,OK,288.0,20,.+,19,3000,,,,,,,,,
2025-05-04,578,Z10154,93.0,37.6,185.0,OK,277.0,6.6,.+,13,3000,,,,,,,,4.0,9.0
2025-05-04,578,Z10154,,,,,,,,5,2000,,,,,,,,,5.0
2025-05-04,578,Z2044,87.0,37.6,363.0,OK,230.0,17.2,.+,45,2000,,,,,40.0,,,,5.0
2025-05-04,578,A0062,91.0,37.6,174.0,OK,272.0,20,.+,15,3000,,,,,,,,,31.0
2025-05-04,578,A0067,95.0,37.6,125.0,OK,385.0,6.6,.+,16,3000,,,,,,,,,
2025-05-04,578,A0070,94.0,37.6,194.0,OK,356.0,12.2,.+,23,3000,,,,,,,,,44.0
2025-05-04,578,A0066,95.0,37.6,124.0,OK,526.0,10.2,.+,21,3000,,,,,,,,,
2025-05-04,578,A0069,93.0,37.6,236.0,OK,289.0,4.8,.+,22,3000,,,,,,,,,56.0
2025-05-04,578,A0065,94.0,37.6,246.0,OK,410.0,10.8,.+,34,3000,,,,,,,,,
2025-05-04,578,A0061,93.0,37.6,174.0,OK,275.0,13.9,.+,16,3000,,,,,,,,,32.0
2025-05-04,578,A0064,95.0,37.6,108.0,OK,452.0,11.6,.+,16,3000,,,,,,,,,
2025-05-04,578,A0030,93.0,37.6,361.0,OK,273.0,10.8,.+,32,3000,,,,,,,,,58.0
2025-05-04,578,A7634,92.0,37.6,239.0,OK,320.0,7.4,.+,26,3000,,,,,,,,,
2025-05-04,578,A8745,93.0,37.6,302.0,OK,306.0,11.7,.+,30,3000,,,,,,,,,43.0
2025-05-04,578,A0054,79.0,37.6,402.0,OK,170.0,11.1,.+,13,3000,,,,,,,,,
2025-05-04,578,S6445,79.0,37.6,303.0,OK,366.0,11.6,.+,54,2000,,,,,,,,,54.0
2025-05-04,578,S6768,86.0,37.6,251.0,OK,418.0,16.9,.+,34,3000,,,,,,,,,58.0
2025-05-04,578,S10204,94.0,37.6,310.0,OK,232.0,7.5,.+,24,3000,,,,,,,,,
2025-05-04,578,S6765,94.0,37.6,319.0,OK,403.0,5.7,.+,42,3000,,,,,,,,,42.0
2025-05-04,578,S0043,92.0,37.6,277.0,OK,452.0,14.1,.+,41,3000,,,,,,,,,76.0
2025-05-04,578,S5699,91.0,37.6,363.0,OK,290.0,20,.+,35,3000,,,,,,,,,
2025-05-04,578,S0046,91.0,37.6,477.0,OK,213.0,16.5,.+,33,3000,,,,,,,,,57.0
2025-05-04,578,S6766,94.0,37.6,277.0,OK,257.0,6.4,.+,24,3000,,,,,,,,,
2025-05-04,578,S0045,93.0,37.6,271.0,OK,454.0,6,.+,41,3000,,,,,,,,,75.0
2025-05-04,578,S5936,91.0,37.6,441.0,OK,235.0,11.7,.+,34,3000,,,,,,,,,
2025-05-04,578,S6447,88.0,37.6,314.0,OK,154.0,11.1,.+,19,3000,,,,,,3.0,,,16.0
2025-05-04,578,S0054,28.0,37.6,403.0,OK,217.0,25.3,.+,-,-,,,,,,,,,
2025-05-04,578,S5641,87.0,37.6,323.0,OK,130.0,20,.+,14,3000,,,,,,,,,47.0
2025-05-04,578,S0057,87.0,37.6,409.0,OK,244.0,19.7,.+,33,2000,,,,,,,,,
2025-05-04,578,S6750,90.0,37.6,348.0,OK,200.0,20,.+,23,3000,,,,,,,,,65.0
2025-05-04,578,S0056,95.0,37.6,458.0,OK,276.0,10.4,.+,42,3000,,,,,,,,,
2025-05-04,578,AS0133,88.0,37.7,498.0,OK,244.0,11.5,.+,60,2000,,106.0,,,,,,,
2025-05-04,578,AS0132,93.0,37.6,230.0,OK,395.0,6.3,.+,46,2000,,,,,,,,,
2025-05-04,578,AS0136,90.0,37.6,351.0,OK,165.0,14.9,.+,29,2000,,52.0,,,,,,,11.0
2025-05-04,578,AS0131,90.0,37.6,218.0,OK,315.0,2.9,.+,34,2000,,,,,,,,,
2025-05-04,578,AS0127,94.0,37.6,191.0,OK,408.0,6.5,.+,38,2000,,,,,,,,,94.0
